Datum,Vorgang,Adressat,Quelle,Status,Gebuehr/Saeumnis,Bemerkung
22.08.2024,Grundsteuerwertbescheid FA Trier erlassen,WEG Rosenwinkel 14/16,FA Trier Az. 42/318/00917 GWB,zugegangen,,Bekanntgabe 26.08.2024
22.08.2024,Grundsteuermessbescheid FA Trier erlassen,WEG Rosenwinkel 14/16,FA Trier,zugegangen,,gleicher Brief wie Wertbescheid
26.09.2024,Einspruchsfrist FA-Bescheide laeuft ab,-,,abgelaufen,,Hausverwaltung hat nichts unternommen
13.05.2026,Grundsteuerbescheid Stadt Trier 2026 erlassen,WEG Rosenwinkel 14/16,Stadt Trier Kassenzeichen 7008-4419-RO14,zugegangen,,Bekanntgabe 15.05.2026
15.05.2026,Faelligkeit Rate Q2/2026,Stadtkasse Trier,Stadt Trier,nicht gezahlt,,4.871.60 EUR
18.05.2026,Mandantenmail Hausverwaltung an Kanzlei,Kanzlei Klotzkette,M. Kreutzer Email,bearbeitet,,Aktenanlage Kanzlei
22.05.2026,Mandantenbesprechung,Kanzlei + Hausverwaltung,intern,erledigt,,90 Minuten Stadtbuero Hauschulz-Mueller
23.05.2026,Faelligkeit Saeumniszuschlag Q2 (1% nach 14 Tagen Schonfrist),Stadtkasse Trier,Sec. 240 AO,erwartet 30.05.2026,48.72 EUR (1% von 4.871.60),
24.05.2026,Antrag Bodenrichtwertauskunft Gutachterausschuss,Gutachterausschuss Trier,Antrag eingereicht,bestaetigt,47 EUR Festgebuehr,Zugang bis 02.06.2026 erwartet
24.05.2026,Bestellung Architektin Wiegand fuer Flaechenbestaetigung,F. Wiegand,Auftrag erteilt,laufend,800-1200 EUR netto,
28.05.2026,Versand Eigentuemerbrief mit Tagesordnung,Eigentuemer:innen,Postlauf,,30 EUR Porto,Adresse 14 Eigentuemer + 2 Erbengemeinschaften
29.05.2026,Erste Mahnung Stufe 1 erwartet,Stadtkasse Trier,Verwaltungspraxis Stadt Trier 14 Tage,erwartet,5 EUR Mahngebuehr,Falls nicht inzwischen gestundet
02.06.2026,Bodenrichtwertauskunft eingegangen,Gutachterausschuss Trier,Postzustellung,erwartet,,Auswertung intern bis 03.06.
04.06.2026,Eigentuemerversammlung,Eigentuemer:innen,Beschlussfassung,vorgesehen,,19:00 Uhr Brueckenstrasse 19
05.06.2026,Mandatsbestaetigung an Kanzlei,Hausverwaltung,Beschluss WEG,vorgesehen,,Voraussetzung fuer Vollmacht
12.06.2026,Mahnung Stufe 2 mit Saeumniszuschlag,Stadtkasse Trier,Sec. 240 AO,erwartet 12.06.,10 EUR Mahngebuehr + 48.72 Saeumniszuschlag,Falls nicht gestundet
14.06.2026,Versand Schriftsatz Aenderungsantrag FA Trier,FA Trier,Einschreiben Rueckschein,geplant,RVG-Anteil,Aktenz. 42/318/00917 GWB
14.06.2026,Versand Einspruch Grundsteuer A Stadt Trier,Stadt Trier,Einschreiben Rueckschein,geplant,im RVG-Honorar,Stoll-Hannemann
14.06.2026,Versand Stundungsantrag Stadtkasse Trier,Stadtkasse Trier,Einschreiben Rueckschein,geplant,im RVG-Honorar,mit Bankbuergschaft-Angebot
15.06.2026,Einspruchsfrist Stadtbescheid laeuft ab,-,Sec. 355 AO,Frist,,Einreichung sicher vor diesem Datum
30.06.2026,Bestellung Verkehrswertgutachten,Sachverstaendige(r),Auftrag durch Hausverwaltung,bei Beschluss EV,4500-6500 EUR,bei Beschluss 2 in EV
15.08.2026,Faelligkeit Rate Q3 2026,Stadtkasse Trier,Bescheid,offen,4.871.60 EUR,Vorfrist 15.07.2026
15.07.2026,Vorfrist Rate Q3,Hausverwaltung,intern,vorgesehen,,
15.11.2026,Faelligkeit Rate Q4 2026,Stadtkasse Trier,Bescheid,offen,4.871.59 EUR (Rundungsausgleich),Vorfrist 15.10.2026
Q3 2026,Gutachten erwartet,Sachverstaendige(r),Bestellung 30.06.,offen,,
Q4 2026,Entscheidung FA ueber Aenderungsantrag,FA Trier,intern erwartet,offen,,realistisch 4-6 Monate Bearbeitungszeit
Q1 2027,Entscheidung Stadt ueber Einspruch Grundsteuer A,Stadt Trier,offen,offen,,
Q1 2027,ggf. Einspruchsentscheidung FA und Folgeentscheidung,FA Trier,offen,offen,,
Q2 2027,ggf. FG-Klage,FG Rheinland-Pfalz,offen,offen,Gerichtskosten + RVG,bei Ablehnung Einspruch
