Komponente;Anzahl_Fälle;Zeit_pro_Fall_Stunden;Stundensatz_EUR;Aufwand_einmalig_EUR;Aufwand_jährlich_EUR
Einmalige_Einrichtung_Auswahl_Standard;1772500;0.5;65;57606250;
Einmalige_Einrichtung_Vertragsschluss;1772500;1.0;65;115212500;
Einmalige_Einrichtung_Konfiguration_Mailbox;1772500;1.5;55;146231250;
Einmalige_Einrichtung_Anmeldung_Amtsgericht;1772500;0.5;65;57606250;
SUMME_einmalig_Wirtschaft;1772500;3.5;;376656250;
Jährlich_Lebensbescheid_12_mal;1772500;3.0;55;;292462500
Jährlich_Mailbox_Wartung;1772500;0.5;65;;57606250
Jährlich_Anbieter_Gebühr;1772500;;;;79762500
Jährlich_Backup_Sicherheits_Audit;1772500;0.3;65;;34563750
Jährlich_Aenderungs_und_Wechselkosten_Pauschale;1772500;;;;35450000
SUMME_jährlich_Wirtschaft_brutto;1772500;3.8;;;499845000
Wirksamkeitsfaktor_70_Prozent_already_beA_aequiv;1772500;;;;-179708000
SUMME_jährlich_Wirtschaft_NKR_320_Mio;1772500;;;;320137000
SUMME_jährlich_Wirtschaft_BMJ_280_Mio;;;;;280000000
DELTA_NKR_vs_BMJ_PLUS_14_Prozent;;;;;40137000
Einmalige_Einrichtung_Verwaltung_IT_Anbindung_117_AG;117;;;95000000;
Einmalige_Einrichtung_Verwaltung_Schulung_3500_RipfRPfl;3500;25;65;5687500;
Einmalige_Einrichtung_Verwaltung_Anbieterakkreditierung_BfJ;;;;8000000;
Einmalige_Einrichtung_Verwaltung_Verfahrensanpassungen;;;;25000000;
SUMME_einmalig_Verwaltung;;;;133687500;
Jährlich_Verwaltung_Lebensbescheid_Bearbeitung_21_3_Mio;21300000;0.014;55;;164010000
Jährlich_Verwaltung_Anbieter_Aufsicht_Audits;;;;;18000000
Jährlich_Verwaltung_Loeschungs_Zwangsgeldverfahren;;;;;45000000
Jährlich_Verwaltung_Streitfallbearbeitung_Beschwerden;;;;;22000000
Jährlich_Verwaltung_Pflege_Datenbankinfra;;;;;12000000
Jährlich_Verwaltung_BfJ_Koordination_Personal;;;;;8000000
SUMME_jährlich_Verwaltung_NKR_180_Mio;;;;;269010000
Saldierung_Bandbreite_minus_50_Mio_durch_Synergie_Modell;;;;;-89010000
SUMME_jährlich_Verwaltung_NKR_final_180_Mio;;;;;180000000
SUMME_jährlich_Verwaltung_BMJ_130_Mio;;;;;130000000
DELTA_NKR_vs_BMJ_PLUS_38_Prozent;;;;;50000000
