datum,spender,anschrift,betrag_eur,zweck,einwilligung_veroeffentlichung,quittung_nr,notiz
2026-03-22,Hildegard Quast,Waldmoor Moorstr. 14,80,Anfangsausstattung,ja,WM-S-2026-001,Privatperson
2026-03-29,Förderkreis Heimatmuseum Wendelheim e.V.,Wendelheim Hauptstr. 6,250,Druckkosten Flyer,ja,WM-S-2026-002,Verein
2026-04-01,Luise Barmbek,Waldmoor Erlenweg 22,250,Flyer Erstdruck,ja,WM-S-2026-003,Kernteam
2026-04-04,Paul Seeger,Hannover Krausenstr. 4,150,Druckkosten,ja,WM-S-2026-004,Kernteam
2026-04-08,Moorschutzverein Nord e.V.,Bremen Findorffstr. 71,3500,Gutachten Auftragsteil,offen,WM-S-2026-005,Verein möchte genannt werden
2026-04-12,Anonym Sammelspende Infostand Waldmoor,Marktplatz Waldmoor,322,Kampagne,nein,WM-S-2026-006,Einzelspenden unter 50 EUR
2026-04-19,Anonym Sammelspende Infostand Wendelheim,Wendelheim Marktplatz,520,Kampagne,nein,WM-S-2026-007,Einzelspenden unter 50 EUR
2026-04-26,Stiftung Niedersachsenmoor,Hannover Burgwedeler Str. 5,1500,Gutachtenanteil,offen,WM-S-2026-008,Stiftung; Tracking-Pflicht ab 10000 EUR
2026-04-30,Greta Mohn,Waldmoor Marktstr. 12,100,Verwaltung,nein,WM-S-2026-009,Kassenführung
2026-05-02,Windpark Waldmoor GmbH,Vechta Industriestr. 8,6000,Gutachten,nein,WM-S-2026-010,politisch sensibel; nicht angenommen
2026-05-10,Buergerinitiative Wendlanddamm,Lüneburg Lindenweg 9,200,Solidarspende,ja,WM-S-2026-011,andere BI
2026-05-15,Anonym Online-Spendenformular,gemeindetreuhand-online,884,Kampagne,nein,WM-S-2026-012,11 Einzelspenden 30-150 EUR
