datum,uhrzeit_start,uhrzeit_ende,fahrzeug,kennzeichen,nutzer,fahrtzweck,startort,zielort,km_start,km_ende,km_gesamt,auftrags_nr
2026-03-02,07:15,09:30,VW Transporter T6.1,K-JM 426,Jonas Mertens,Heizungswartung Stammkunde,Kölner Str. 84 Ehrenfeld,Sülzgürtel 22 Sülz,48220,48235,15,AO-2026-0201
2026-03-02,09:45,12:00,VW Transporter T6.1,K-JM 426,Jonas Mertens,Sanitärinstallation Badumbau,Sülzgürtel 22 Sülz,Luxemburger Str. 88 Klettenberg,48235,48248,13,AO-2026-0202
2026-03-03,08:00,10:30,VW Transporter T6.1,K-JM 426,Emir Özkan,Materialabholung Großhandel,Kölner Str. 84 Ehrenfeld,Industriestr. 14 Ossendorf,48248,48261,13,MAT-2026-0301
2026-03-03,11:00,14:45,VW Transporter T6.1,K-JM 426,Jonas Mertens,Gasinstallation Neubau,Kölner Str. 84 Ehrenfeld,Dürener Str. 412 Braunsfeld,48261,48279,18,AO-2026-0203
2026-03-04,07:30,09:00,VW Transporter T6.1,K-JM 426,Emir Özkan,Wartung Therme,Kölner Str. 84 Ehrenfeld,Konrad-Adenauer-Ufer 55 Neustadt-Nord,48279,48289,10,AO-2026-0204
2026-03-04,09:15,11:00,VW Transporter T6.1,K-JM 426,Jonas Mertens,Heizungsnotfall,Konrad-Adenauer-Ufer 55 Neustadt-Nord,Eigelsteiner Str. 102 Innenstadt,48289,48296,7,NOT-2026-0304
2026-03-05,08:00,10:00,VW Transporter T6.1,K-JM 426,Lars Riemer,Materialrückgabe,Kölner Str. 84 Ehrenfeld,Industriestr. 14 Ossendorf,48296,48308,12,MAT-2026-0302
2026-03-06,07:45,13:30,VW Transporter T6.1,K-JM 426,Jonas Mertens,Jahreswartung Wohnanlage,Kölner Str. 84 Ehrenfeld,Aachener Str. 556–560 Weiden,48308,48335,27,AO-2026-0205
2026-03-09,08:30,11:00,VW Transporter T6.1,K-JM 426,Emir Özkan,Rohranschluss Gewerbe,Kölner Str. 84 Ehrenfeld,Subbelrather Str. 304 Bickendorf,48335,48347,12,AO-2026-0206
2026-03-09,11:30,14:00,VW Transporter T6.1,K-JM 426,Jonas Mertens,Druckprüfung Gasleitung,Subbelrather Str. 304 Bickendorf,Münchener Str. 19 Rodenkirchen,48347,48368,21,AO-2026-0207
2026-03-10,07:00,08:30,VW Transporter T6.1,K-JM 426,Jonas Mertens,Notfall Thermendefekt,Kölner Str. 84 Ehrenfeld,Severinswall 45 Altstadt-Süd,48368,48378,10,NOT-2026-0310
2026-03-10,09:00,12:00,VW Transporter T6.1,K-JM 426,Jonas Mertens,Thermentausch,Severinswall 45 Altstadt-Süd,Severinswall 45 Altstadt-Süd,48378,48378,0,AO-2026-0208
2026-03-11,08:00,10:30,VW Transporter T6.1,K-JM 426,Lars Riemer,Materialabholung Kupferleitungen,Kölner Str. 84 Ehrenfeld,Industriestr. 14 Ossendorf,48378,48390,12,MAT-2026-0303
2026-03-12,07:30,12:45,VW Transporter T6.1,K-JM 426,Jonas Mertens,Sanitärsanierung Altbau,Kölner Str. 84 Ehrenfeld,Niehler Str. 77 Nippes,48390,48407,17,AO-2026-0209
2026-03-13,09:00,11:30,VW Transporter T6.1,K-JM 426,Emir Özkan,Ventilwartung Mehrfamilienhaus,Kölner Str. 84 Ehrenfeld,Vitalisstr. 78 Longerich,48407,48420,13,AO-2026-0210
2026-03-16,07:15,08:30,VW Transporter T6.1,K-JM 426,Jonas Mertens,Behördengespräch Bauamt,Kölner Str. 84 Ehrenfeld,Willy-Brandt-Platz 2 Deutz,48420,48432,12,INT-2026-0316
2026-03-16,09:00,13:00,VW Transporter T6.1,K-JM 426,Jonas Mertens,Heizungsinstallation Neubau,Willy-Brandt-Platz 2 Deutz,Marsdorfer Str. 33 Marsdorf,48432,48456,24,AO-2026-0211
2026-03-17,08:00,10:00,VW Transporter T6.1,K-JM 426,Emir Özkan,Wartung Dachheizung,Kölner Str. 84 Ehrenfeld,Hansaring 97 Neustadt-Nord,48456,48466,10,AO-2026-0212
